,loss,accuracy,val_loss,val_accuracy
0,1.5652434825897217,0.3888317942619324,0.9075928926467896,0.6144000291824341
1,0.9691362380981445,0.49194929003715515,0.6078179478645325,0.7576000094413757
2,0.6622768640518188,0.6954436302185059,0.42603087425231934,0.8528000116348267
3,0.5908871293067932,0.7478588819503784,0.3733932673931122,0.8823999762535095
4,0.5026828646659851,0.8129496574401855,0.3371427655220032,0.8840000033378601
5,0.38447272777557373,0.8564577102661133,0.4760054051876068,0.8104000091552734
6,0.3502551317214966,0.8739294409751892,0.4304553270339966,0.7943999767303467
7,0.4085196852684021,0.8338472247123718,0.3720245957374573,0.8456000089645386
8,0.3562941253185272,0.8653648495674133,0.32193976640701294,0.8727999925613403
9,0.3336723744869232,0.8869475722312927,0.35386621952056885,0.8583999872207642
10,0.30659449100494385,0.8924289345741272,0.2510371208190918,0.9039999842643738
11,0.32360443472862244,0.8883179426193237,0.23831938207149506,0.9120000004768372
12,0.31752586364746094,0.881466269493103,0.35616153478622437,0.848800003528595
13,0.3336256146430969,0.8770126700401306,0.3437788486480713,0.8583999872207642
14,0.23285852372646332,0.9215484857559204,0.4648025929927826,0.8295999765396118
15,0.3049963414669037,0.8927714824676514,0.3166321814060211,0.8712000250816345
16,0.29251763224601746,0.890716016292572,0.5239311456680298,0.8159999847412109
17,0.24263480305671692,0.9198355674743652,0.39847058057785034,0.8392000198364258
18,0.29179081320762634,0.8931140899658203,0.34601452946662903,0.8632000088691711
19,0.2564076781272888,0.9112709760665894,0.2385847121477127,0.9071999788284302
20,0.26077720522880554,0.9016786813735962,0.34740346670150757,0.8519999980926514
21,0.2848462164402008,0.8965399265289307,0.31866881251335144,0.8736000061035156
